store_id,store_name,date,revenue
0,All Stores,2011-01-29,204126.52
0,All Stores,2011-01-30,197426.42
0,All Stores,2011-01-31,144267.27
0,All Stores,2011-02-01,151903.00
0,All Stores,2011-02-02,117399.88
0,All Stores,2011-02-03,173443.45
0,All Stores,2011-02-04,171972.65
0,All Stores,2011-02-05,233619.38
0,All Stores,2011-02-06,208743.90
0,All Stores,2011-02-07,162911.75
0,All Stores,2011-02-08,152198.48
0,All Stores,2011-02-09,151021.73
0,All Stores,2011-02-10,156855.00
0,All Stores,2011-02-11,179960.27
0,All Stores,2011-02-12,231462.25
0,All Stores,2011-02-13,251909.58
0,All Stores,2011-02-14,149322.23
0,All Stores,2011-02-15,160695.77
0,All Stores,2011-02-16,147463.98
0,All Stores,2011-02-17,142972.48
0,All Stores,2011-02-18,168669.98
0,All Stores,2011-02-19,219127.08
0,All Stores,2011-02-20,203423.60
0,All Stores,2011-02-21,163868.92
0,All Stores,2011-02-22,138451.73
0,All Stores,2011-02-23,137675.67
0,All Stores,2011-02-24,134965.85
0,All Stores,2011-02-25,154442.17
0,All Stores,2011-02-26,204598.73
0,All Stores,2011-02-27,198628.12
0,All Stores,2011-02-28,146986.65
0,All Stores,2011-03-01,156350.45
0,All Stores,2011-03-02,149991.35
0,All Stores,2011-03-03,161294.95
0,All Stores,2011-03-04,160051.40
0,All Stores,2011-03-05,215609.40
0,All Stores,2011-03-06,235763.50
0,All Stores,2011-03-07,167459.60
0,All Stores,2011-03-08,153114.58
0,All Stores,2011-03-09,146929.55
0,All Stores,2011-03-10,150261.83
0,All Stores,2011-03-11,170289.58
0,All Stores,2011-03-12,214160.02
0,All Stores,2011-03-13,214949.12
0,All Stores,2011-03-14,164604.85
0,All Stores,2011-03-15,156380.17
0,All Stores,2011-03-16,150190.83
0,All Stores,2011-03-17,143773.35
0,All Stores,2011-03-18,162117.85
0,All Stores,2011-03-19,208618.85
0,All Stores,2011-03-20,203813.92
0,All Stores,2011-03-21,153422.65
0,All Stores,2011-03-22,136512.40
0,All Stores,2011-03-23,129204.55
0,All Stores,2011-03-24,126173.40
0,All Stores,2011-03-25,156937.05
0,All Stores,2011-03-26,200652.95
0,All Stores,2011-03-27,203113.98
0,All Stores,2011-03-28,143768.55
0,All Stores,2011-03-29,131427.73
0,All Stores,2011-03-30,125359.08
0,All Stores,2011-03-31,139953.70
0,All Stores,2011-04-01,185951.12
0,All Stores,2011-04-02,226647.80
0,All Stores,2011-04-03,222803.30
0,All Stores,2011-04-04,165149.42
0,All Stores,2011-04-05,156370.45
0,All Stores,2011-04-06,150526.30
0,All Stores,2011-04-07,151476.50
0,All Stores,2011-04-08,167006.35
0,All Stores,2011-04-09,215368.83
0,All Stores,2011-04-10,212700.85
0,All Stores,2011-04-11,166523.42
0,All Stores,2011-04-12,153901.98
0,All Stores,2011-04-13,142594.83
0,All Stores,2011-04-14,147062.48
0,All Stores,2011-04-15,171687.52
0,All Stores,2011-04-16,207647.08
0,All Stores,2011-04-17,209043.05
0,All Stores,2011-04-18,153178.05
